"1,Kevin Garnett,18.3,18.3,2003-04,27,MIN,82,82,3231,804,1611,793,1568,11,43,368,465,245,894,1139,409,120,178,212,202,1987,.499,.506,.256,.791,.547,.502,F-C,garneke01"
"2,Kevin Garnett,16.1,16.1,2004-05,28,MIN,82,82,3121,683,1360,677,1335,6,25,445,549,247,861,1108,466,121,112,222,207,1817,.502,.507,.240,.811,.567,.504,F-C,garneke01"
"3,Kevin Garnett,15.6,15.6,2002-03,26,MIN,82,82,3321,743,1481,723,1410,20,71,377,502,244,858,1102,495,113,129,229,199,1883,.502,.513,.282,.751,.553,.508,F-C,garneke01"
"4,Kevin Garnett,14.9,14.9,2005-06,29,MIN,76,76,2957,626,1191,618,1161,8,30,396,489,214,752,966,308,104,107,180,206,1656,.526,.532,.267,.810,.589,.529,F-C,garneke01"
"5,Kevin Love,14.3,14.3,2013-14,25,MIN,77,77,2797,650,1421,460,916,190,505,520,633,224,739,963,341,59,35,196,136,2010,.457,.502,.376,.821,.591,.524,F,loveke01"
"6,Karl-Anthony Towns,14.0,14.0,2017-18,22,MIN,82,82,2918,639,1172,519,887,120,285,345,402,238,774,1012,199,64,115,159,285,1743,.545,.585,.421,.858,.646,.596,C-F,townska01"
"7,Kevin Garnett,12.8,12.8,2001-02,25,MIN,81,81,3175,659,1401,622,1285,37,116,359,448,243,738,981,422,96,126,229,184,1714,.470,.484,.319,.801,.536,.484,F-C,garneke01"
"8,Karl-Anthony Towns,12.7,12.7,2016-17,21,MIN,82,82,3030,802,1480,701,1205,101,275,356,428,296,711,1007,220,56,103,212,241,2061,.542,.582,.367,.832,.618,.576,C-F,townska01"
"9,Sam Cassell,12.1,12.1,2003-04,34,MIN,81,81,2838,620,1270,546,1084,74,186,289,331,44,227,271,592,102,18,220,247,1603,.488,.504,.398,.873,.566,.517,G,cassesa01"
"10,Kevin Garnett,11.8,11.8,2000-01,24,MIN,81,81,3202,704,1475,685,1409,19,66,357,467,219,702,921,401,111,145,230,204,1784,.477,.486,.288,.764,.531,.484,F-C,garneke01"
"11,Kevin Garnett,11.6,11.6,1999-00,23,MIN,81,81,3243,759,1526,729,1445,30,81,309,404,223,733,956,401,120,126,268,205,1857,.497,.504,.370,.765,.545,.507,F-C,garneke01"
"12,Kevin Love,11.4,11.4,2010-11,22,MIN,73,73,2611,482,1026,394,815,88,211,424,499,330,782,1112,184,45,28,155,148,1476,.470,.483,.417,.850,.593,.513,F,loveke01"
"13,Kevin Garnett,10.7,10.7,2006-07,30,MIN,76,76,2995,638,1341,626,1285,12,56,416,498,183,792,975,313,89,126,205,184,1704,.476,.487,.214,.835,.546,.480,F-C,garneke01"
